car,body,engV,engType,registration,year,model,drive
Ford,crossover,2.5,Gas,yes,2010,Kuga,full
Mercedes-Benz,sedan,1.8,Gas,yes,2011,E-Class,rear
Mercedes-Benz,other,5.5,Petrol,yes,2008,CL 550,rear
Mercedes-Benz,van,1.8,Diesel,yes,2012,B 180,front
Mercedes-Benz,vagon,NA,Other,yes,2013,E-Class,rear
Nissan,crossover,2,Petrol,yes,2013,X-Trail,full
Honda,sedan,2,Petrol,yes,2003,Accord,front
Renault,vagon,1.5,Diesel,yes,2011,Megane,front
Mercedes-Benz,sedan,1.8,Gas,yes,2012,E-Class,rear
Mercedes-Benz,sedan,2.2,Diesel,yes,2010,E-Class,rear
Nissan,crossover,1.2,Petrol,yes,2016,Qashqai,front
Mercedes-Benz,sedan,1.8,Gas,yes,2011,E-Class,rear
Mercedes-Benz,sedan,1.8,Gas,yes,2012,E-Class,rear
BMW,sedan,NA,Petrol,yes,1996,316,rear
Mercedes-Benz,sedan,1.8,Gas,yes,2012,E-Class,rear
BMW,sedan,4.8,Petrol,yes,2006,750,rear
BMW,sedan,5,Petrol,yes,2016,750,full
Mercedes-Benz,crossover,3,Petrol,yes,2016,GLE-Class,full
Nissan,crossover,2,Petrol,yes,2013,X-Trail,full
BMW,sedan,4.4,Petrol,yes,2013,M5,rear
Land Rover,crossover,4.4,Diesel,yes,2016,Range Rover,full
Nissan,crossover,1.6,Diesel,yes,2016,X-Trail,full
BMW,crossover,3,Diesel,yes,2016,X5,full
BMW,crossover,2,Diesel,yes,2016,X5,full
BMW,crossover,2,Diesel,yes,2016,X5,full
BMW,crossover,3,Diesel,yes,2007,X5,full
Mercedes-Benz,crossover,2.2,Diesel,yes,2016,GLE-Class,full
BMW,crossover,3,Diesel,yes,2014,X5,full
BMW,crossover,2,Diesel,yes,2015,X5,full
Mercedes-Benz,crossover,2.98,Diesel,yes,2016,GLE-Class,full
Nissan,hatch,NA,Other,yes,2013,Leaf,front
Nissan,hatch,NA,Other,yes,2013,Leaf,front
Volkswagen,sedan,2,Petrol,yes,2007,Passat B6,front
Audi,vagon,2.5,Diesel,no,1999,A6,front
Chrysler,sedan,2.4,Petrol,yes,2008,Sebring,front
Volkswagen,sedan,2,Petrol,yes,2008,Passat B6,front
Jaguar,sedan,3,Petrol,yes,2008,XF,rear
Audi,sedan,NA,Other,no,1999,A6,
Audi,sedan,2.8,Petrol,yes,2012,A6,full
Mercedes-Benz,van,3.5,Petrol,yes,2013,Sprinter 324 ����.,rear
Audi,vagon,2.5,Diesel,no,2002,A6,front
Nissan,hatch,NA,Other,yes,2013,Leaf,front
Mercedes-Benz,sedan,1.8,Gas,yes,2011,E-Class,rear
BMW,sedan,2.5,Diesel,no,1997,5 Series,rear
BMW,sedan,2,Petrol,yes,2016,520,
Mercedes-Benz,crossover,2.99,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,crossover,2.2,Diesel,yes,2016,GLE-Class,full
BMW,crossover,2,Diesel,yes,2016,X5,full
BMW,crossover,2,Diesel,yes,2016,X5,full
Mitsubishi,crossover,2.4,Petrol,yes,2006,Outlander,full
Nissan,crossover,1.6,Petrol,yes,2015,Juke,front
Mercedes-Benz,vagon,2.2,Diesel,yes,2008,E-Class,rear
Mercedes-Benz,sedan,2.2,Diesel,yes,2011,E-Class,
Mercedes-Benz,crossover,3,Diesel,yes,2016,GLE-Class,full
Volkswagen,sedan,1.9,Diesel,yes,2007,Passat B6,front
Audi,sedan,2.5,Diesel,no,2000,A6,front
Nissan,hatch,NA,Other,yes,2013,Leaf,front
Mitsubishi,sedan,2.4,Gas,yes,2009,Galant,front
Kia,crossover,1.7,Diesel,yes,2016,Sportage,front
Porsche,crossover,3,Diesel,yes,2012,Cayenne,full
Kia,crossover,2,Diesel,yes,2011,Sportage,full
Kia,crossover,2,Diesel,yes,2012,Sportage,full
Volkswagen,vagon,1.9,Diesel,no,2000,Passat B5,front
Volkswagen,sedan,1.9,Diesel,no,1998,Passat B5,front
Honda,vagon,2.4,Gas,yes,2011,Accord,front
Mercedes-Benz,crossover,3,Diesel,yes,2016,GLE-Class,full
Toyota,crossover,4.5,Diesel,yes,2016,Land Cruiser 200,full
Porsche,crossover,3,Diesel,yes,2011,Cayenne,full
Porsche,crossover,3.6,Petrol,yes,2013,Cayenne,full
Porsche,crossover,2.99,Diesel,yes,2016,Cayenne,full
Mercedes-Benz,crossover,3,Diesel,yes,2016,GLE-Class,full
Toyota,crossover,4.5,Diesel,yes,2016,Land Cruiser 200,full
Toyota,crossover,4.5,Diesel,yes,2016,Land Cruiser 200,full
Audi,crossover,3,Diesel,yes,2010,Q7,full
Honda,sedan,2.4,Petrol,yes,2009,Accord,front
Toyota,crossover,4.5,Diesel,yes,2016,Land Cruiser 200,full
Porsche,crossover,4.8,Petrol,yes,2013,Cayenne,full
Porsche,crossover,4.8,Petrol,yes,2008,Cayenne,full
Mitsubishi,crossover,2.4,Gas,yes,2007,Outlander XL,full
Honda,sedan,3.5,Gas,yes,2014,Accord,front
Porsche,crossover,4.8,Petrol,yes,2008,Cayenne,full
Toyota,crossover,4.5,Diesel,yes,2014,Land Cruiser 200,full
BMW,sedan,2.2,Gas,yes,2001,520,rear
Mercedes-Benz,van,2.2,Diesel,yes,2002,Vito ����.,front
Audi,crossover,3,Petrol,yes,2010,Q7,full
Mercedes-Benz,van,2.2,Diesel,yes,2005,Vito ����.,rear
Toyota,crossover,4.5,Diesel,yes,2016,Land Cruiser 200,full
Toyota,crossover,4.5,Diesel,yes,2016,Land Cruiser 200,full
Mercedes-Benz,other,2.2,Diesel,yes,2010,Vito ����.,front
Toyota,sedan,3.5,Petrol,yes,2008,Camry,front
